ticker,display_name,notes
ASTS,AST SpaceMobile,
FLY,Firefly Aerospace,
IRDM,Iridium Communications,
MDA.TO,MDA Space,TSX
PL,Planet Labs,
SSIT.L,Seraphim Space Investment Trust,LSE
SPIR,Spire Global,
STM,STMicroelectronics,
BKSY,BlackSky Technology,
LUNR,Intuitive Machines,
RDW,Redwire,
SATL,Satellogic,
AVIO.MI,Avio,
ETL.PA,Eutelsat Communications,
KTOS,Kratos Defence & Security Solutions,
SIDU,Sidus Space,
VOYG,Voyager Technologies,
MU,Micron Technology,
VST,Vistra,
PLAB,Photronics,
RKLB,Rocket Lab Corporation,
RGTI,Rigetti Computing,
QBTS,D-Wave Quantum,
NVDA,Nvidia,
IONQ,IonQ,
B,Barrick Mining,
EOG,EOG Resources,
GFS,GlobalFoundries,
QUBT,Quantum Computing Inc,
TSM,Taiwan Semiconductor Manufacturing,
GEN,Gen Digital,
CRUS,Cirrus Logic,
AVGO,Broadcom,
TENB,Tenable,
QTUM,WisdomTree Quantum Computing ETF,acc
INFQ,Infleqtion,
QRVO,Qorvo,
SMH,VanEck Semiconductor ETF,acc
TXT,Textron,
PSX,Phillips 66,
MPC,Marathon Petroleum,
MRVL,Marvell Technology,
VLO,Valero Energy,
DIOD,Diodes,
